CVE,Published,AnalysisTime,Difference
CVE-2023-35960,2024-01-08 15:15:00,2024-01-11 17:29:28.727,3 days 02:14:28.727000
CVE-2023-35961,2024-01-08 15:15:00,2024-01-11 17:29:19.660,3 days 02:14:19.660000
CVE-2023-35962,2024-01-08 15:15:00,2024-01-11 17:29:09.637,3 days 02:14:09.637000
CVE-2023-35963,2024-01-08 15:15:00,2024-01-11 17:28:50.450,3 days 02:13:50.450000
CVE-2023-35964,2024-01-08 15:15:00,2024-01-11 17:27:57.947,3 days 02:12:57.947000
CVE-2023-35969,2024-01-08 15:15:00,2024-01-16 17:34:36.503,8 days 02:19:36.503000
CVE-2023-35970,2024-01-08 15:15:00,2024-01-16 17:34:44.193,8 days 02:19:44.193000
CVE-2023-35989,2024-01-08 15:15:00,2024-01-10 01:18:31.157,1 days 10:03:31.157000
CVE-2023-35992,2024-01-08 15:15:00,2024-01-10 01:18:19.987,1 days 10:03:19.987000
CVE-2023-35994,2024-01-08 15:15:00,2024-01-16 17:34:53.623,8 days 02:19:53.623000
CVE-2023-35995,2024-01-08 15:15:00,2024-01-16 17:22:43.763,8 days 02:07:43.763000
CVE-2023-35996,2024-01-08 15:15:00,2024-01-16 17:22:59.867,8 days 02:07:59.867000
CVE-2023-35997,2024-01-08 15:15:00,2024-01-16 17:23:35.420,8 days 02:08:35.420000
CVE-2023-36629,2024-01-09 02:15:00,2024-01-16 19:13:33.353,7 days 16:58:33.353000
CVE-2023-36746,2024-01-08 15:15:00,2024-01-16 17:23:39.240,8 days 02:08:39.240000
CVE-2023-36747,2024-01-08 15:15:00,2024-01-16 17:23:42.943,8 days 02:08:42.943000
CVE-2023-36842,2024-01-12 01:15:00,2024-01-18 20:15:59.817,6 days 19:00:59.817000
CVE-2023-36861,2024-01-08 15:15:00,2024-01-10 01:18:00.913,1 days 10:03:00.913000
CVE-2023-36864,2024-01-08 15:15:00,2024-01-10 01:17:44.330,1 days 10:02:44.330000
CVE-2023-36915,2024-01-08 15:15:00,2024-01-11 20:09:31.580,3 days 04:54:31.580000
CVE-2023-36916,2024-01-08 15:15:00,2024-01-11 20:04:33.703,3 days 04:49:33.703000
CVE-2023-37117,2024-01-12 07:15:00,2024-01-19 01:57:04.077,6 days 18:42:04.077000
CVE-2023-3726,2024-01-04 15:15:00,2024-01-11 13:40:50.770,6 days 22:25:50.770000
CVE-2023-37282,2024-01-08 15:15:00,2024-01-10 01:17:21.707,1 days 10:02:21.707000
CVE-2023-37293,2024-01-09 23:15:00,2024-01-12 19:18:51.190,2 days 20:03:51.190000
CVE-2023-37294,2024-01-09 23:15:00,2024-01-12 19:18:41.160,2 days 20:03:41.160000
CVE-2023-37295,2024-01-09 23:15:00,2024-01-12 19:18:29.653,2 days 20:03:29.653000
CVE-2023-37296,2024-01-09 23:15:00,2024-01-12 19:18:21.517,2 days 20:03:21.517000
CVE-2023-37297,2024-01-09 23:15:00,2024-01-12 19:18:12.163,2 days 20:03:12.163000
CVE-2023-37416,2024-01-08 15:15:00,2024-01-11 17:27:07.857,3 days 02:12:07.857000
CVE-2023-37417,2024-01-08 15:15:00,2024-01-11 17:58:21.223,3 days 02:43:21.223000
CVE-2023-37418,2024-01-08 15:15:00,2024-01-11 17:58:07.240,3 days 02:43:07.240000
CVE-2023-37419,2024-01-08 15:15:00,2024-01-11 17:57:43.137,3 days 02:42:43.137000
CVE-2023-37420,2024-01-08 15:15:00,2024-01-11 17:57:35.563,3 days 02:42:35.563000
CVE-2023-37442,2024-01-08 15:15:00,2024-01-11 17:57:25.057,3 days 02:42:25.057000
CVE-2023-37443,2024-01-08 15:15:00,2024-01-11 17:57:12.833,3 days 02:42:12.833000
CVE-2023-37444,2024-01-08 15:15:00,2024-01-11 17:57:02.987,3 days 02:42:02.987000
CVE-2023-37445,2024-01-08 15:15:00,2024-01-11 17:56:51.283,3 days 02:41:51.283000
CVE-2023-37446,2024-01-08 15:15:00,2024-01-11 17:56:37.873,3 days 02:41:37.873000
CVE-2023-37447,2024-01-08 15:15:00,2024-01-11 17:56:30.397,3 days 02:41:30.397000
CVE-2023-37573,2024-01-08 15:15:00,2024-01-11 18:00:47.003,3 days 02:45:47.003000
CVE-2023-37574,2024-01-08 15:15:00,2024-01-11 18:00:39.943,3 days 02:45:39.943000
CVE-2023-37575,2024-01-08 15:15:00,2024-01-11 18:00:31.497,3 days 02:45:31.497000
CVE-2023-37576,2024-01-08 15:15:00,2024-01-11 18:00:24.587,3 days 02:45:24.587000
CVE-2023-37577,2024-01-08 15:15:00,2024-01-11 18:00:19.450,3 days 02:45:19.450000
CVE-2023-37578,2024-01-08 15:15:00,2024-01-11 18:00:11.397,3 days 02:45:11.397000
CVE-2023-37644,2024-01-11 08:15:00,2024-01-17 21:39:24.347,6 days 13:24:24.347000
CVE-2023-37921,2024-01-08 15:15:00,2024-01-11 18:00:03.563,3 days 02:45:03.563000
